Name,Value,Month,Year
AC312teas,0,1,2004
AC312teas,0,2,2004
AC312teas,0,3,2004
AC312teas,0,4,2004
AC312teas,0,5,2004
AC312teas,0,6,2004
AC312teas,0,7,2004
AC312teas,0,8,2004
AC312teas,0,9,2004
AC312teas,0,10,2004
AC312teas,0,11,2004
AC312teas,0,12,2004
AC312teas,0,1,2005
AC312teas,0,2,2005
AC312teas,0,3,2005
AC312teas,0,4,2005
AC312teas,0,5,2005
AC312teas,0,6,2005
AC312teas,0,7,2005
AC312teas,0,8,2005
AC312teas,0,9,2005
AC312teas,0,10,2005
AC312teas,0,11,2005
AC312teas,0,12,2005
AC312teas,0,1,2006
AC312teas,0,2,2006
AC312teas,0,3,2006
AC312teas,0,4,2006
AC312teas,0,5,2006
AC312teas,0,6,2006
AC312teas,0,7,2006
AC312teas,0,8,2006
AC312teas,0,9,2006
AC312teas,0,10,2006
AC312teas,0,11,2006
AC312teas,0,12,2006
AC312teas,0,1,2007
AC312teas,0,2,2007
AC312teas,0,3,2007
AC312teas,0,4,2007
AC312teas,0,5,2007
AC312teas,0,6,2007
AC312teas,0,7,2007
AC312teas,0,8,2007
AC312teas,0,9,2007
AC312teas,0,10,2007
AC312teas,0,11,2007
AC312teas,0,12,2007
AC312teas,0,1,2008
AC312teas,0,2,2008
AC312teas,0,3,2008
AC312teas,0,4,2008
AC312teas,0,5,2008
AC312teas,0,6,2008
AC312teas,0,7,2008
AC312teas,0,8,2008
AC312teas,0,9,2008
AC312teas,0,10,2008
AC312teas,0,11,2008
AC312teas,0,12,2008
AC312teas,0,1,2009
AC312teas,0,2,2009
AC312teas,0,3,2009
AC312teas,0,4,2009
AC312teas,0,5,2009
AC312teas,0,6,2009
AC312teas,0,7,2009
AC312teas,0,8,2009
AC312teas,0,9,2009
AC312teas,0,10,2009
AC312teas,0,11,2009
AC312teas,0,12,2009
AC312teas,0,1,2010
AC312teas,0,2,2010
AC312teas,0,3,2010
AC312teas,0,4,2010
AC312teas,0,5,2010
AC312teas,0,6,2010
AC312teas,0,7,2010
AC312teas,0,8,2010
AC312teas,0,9,2010
AC312teas,0,10,2010
AC312teas,0,11,2010
